source_mat_id_orig,samp_description,tax_id,scientific_name,investigation_type,env_material,collection_date,sampling_event,sampl_person,sampl_person_orcid,tidal_stage,noteworthy_env_cond,depth,replicate,samp_size_vol,time_fi,size_frac,size_frac_low,size_frac_up,membr_cut,samp_collect_device,samp_mat_process,samp_mat_process_dev,samp_store_date,samp_store_loc,samp_store_temp,store_person,store_person_orcid,other_person,other_person_orcid,long_store,ship_date,arr_date_hq,store_temp_hq,ship_date_seq,arr_date_seq,failure,failure_comment,ENA_accession_number_sample,source_mat_id
EMO BON MBAL4 Wa 211103 3µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,1,20,4.5,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_1
EMO BON MBAL4 Wa 211103 3µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,2,20,4.5,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_2
EMO BON MBAL4 Wa 211103 0.2µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,1,20,4.5,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_3
EMO BON MBAL4 Wa 211103 0.2µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,2,20,4.5,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_4
EMO BON MBAL4 Wa 211103 3µm (3),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,3,20,7.75,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_5
EMO BON MBAL4 Wa 211103 3µm (4),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,4,20,7.75,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_6
EMO BON MBAL4 Wa 211103 0.2µm (3),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,3,20,7.75,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_7
EMO BON MBAL4 Wa 211103 0.2µm (4),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-11-03 00:00:00,MBAL4_Wa_211103,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,4,20,7.75,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-11-03 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_8
EMO BON MBAL4 Wa 211103 3µm (blank),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-11-03 00:00:00,MBAL4_Wa_211103,NA,NA,NA,,NA,blank_1,20,0,3,3,,N,NA,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_9
EMO BON MBAL4 Wa 211103 0.2µm (blank),EMOBON metagenome water sample from station MBAL4 collected on 2021-11-03 size fraction 0.2-3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-11-03 00:00:00,MBAL4_Wa_211103,NA,NA,NA,,NA,blank_1,20,0,0.2-3,0.2,3,N,NA,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-11-03 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_10
EMO BON MBAL4 Wa 211216 3µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,1,20,3.5,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-12-16 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_11
EMO BON MBAL4 Wa 211216 3µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,2,20,3.5,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-12-16 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_12
EMO BON MBAL4 Wa 211216 0.2µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,1,20,3.5,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-12-16 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_13
EMO BON MBAL4 Wa 211216 0.2µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,2,20,3.5,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-12-16 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-01-18 00:00:00,2022-01-25 00:00:00,-70,2022-02-22 00:00:00,2022-02-23 00:00:00,F,NA,NA,EMOBON_MBAL4_Wa_14
EMO BON MBAL4 Wa 211216 3µm (3),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,3,20,4.5,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-12-16 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_15
EMO BON MBAL4 Wa 211216 3µm (4),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,4,20,4.5,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-12-16 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_16
EMO BON MBAL4 Wa 211216 0.2µm (3),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,3,20,4.5,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-12-16 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_17
EMO BON MBAL4 Wa 211216 0.2µm (4),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2021-12-16 00:00:00,MBAL4_Wa_211216,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,low_tide,,1,4,20,4.5,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, vacuum pump",2021-12-16 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_18
EMO BON MBAL4 Wa 211216 3µm (blank),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-12-16 00:00:00,MBAL4_Wa_211216,NA,NA,NA,,NA,blank_1,20,0,3,3,,N,NA,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-12-16 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_19
EMO BON MBAL4 Wa 211216 0.2µm (blank),EMOBON metagenome water sample from station MBAL4 collected on 2021-12-16 size fraction 0.2-3um,256318,metagenome,metagenome,MilliQ water [ENVO:00003065],2021-12-16 00:00:00,MBAL4_Wa_211216,NA,NA,NA,,NA,blank_1,20,0,0.2-3,0.2,3,N,NA,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2021-12-16 00:00:00,Cell and Molec chest Tower A1,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,Y,NA,NA,NA,NA,NA,NA,NA,NA,EMOBON_MBAL4_Wa_20
EMO BON MBAL4 Wa 220301 3µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2022-03-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-03-01 00:00:00,MBAL4_Wa_220301,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,1,20,6,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2022-03-01 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-10-10 00:00:00,2022-10-15 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_MBAL4_Wa_21
EMO BON MBAL4 Wa 220301 3µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2022-03-01 size fraction 3-200um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-03-01 00:00:00,MBAL4_Wa_220301,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,2,20,6,3-200,3,200,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2022-03-01 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-10-10 00:00:00,2022-10-15 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_MBAL4_Wa_22
EMO BON MBAL4 Wa 220301 0.2µm (1),EMOBON metagenome water sample from station MBAL4 collected on 2022-03-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-03-01 00:00:00,MBAL4_Wa_220301,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,1,20,6,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2022-03-01 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-10-10 00:00:00,2022-10-15 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_MBAL4_Wa_23
EMO BON MBAL4 Wa 220301 0.2µm (2),EMOBON metagenome water sample from station MBAL4 collected on 2022-03-01 size fraction 0.2-3um,1874687,marine plankton metagenome,metagenome,seawater [ENVO:00002149]; coastal sea water [ENVO:00002150]; surface water [ENVO:00002042],2022-03-01 00:00:00,MBAL4_Wa_220301,"Frances Perry, Mitchell Brenen, Sean McTierney",https://orcid.org/0000-0003-1560-1506,ebb_tide,,1,2,20,6,0.2-3,0.2,3,Y,Niskin,WaSOP 1,"4.5 mL cryotubes, 4 mL DNA/RNA shield, vacuum pump",2022-03-01 00:00:00,shipped,-80,Kimberley Bird,https://orcid.org/,Michael Cunliffe,https://orcid.org/0000-0002-6716-3555,N,2022-10-10 00:00:00,2022-10-15 00:00:00,-70,2023-06-01 00:00:00,2023-06-01 00:00:00,NA,NA,NA,EMOBON_MBAL4_Wa_24
